"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8425","一分钟以上的记录，进行语篇规整","testcases","Fri Jul 11 15:35:24 CST 2025","passed","Fri Jul 11 15:35:32 CST 2025","TestTranscriptionRecord","test_transcription_record","",""
"","7950","转写记录页面布局样式正常，文案内容正确","testcases","Fri Jul 11 15:28:46 CST 2025","passed","Fri Jul 11 15:28:54 CST 2025","TestTranscriptionRecord","test_transcription_record","",""
"","2646","专有词汇格式不正确时，在文本框下方红色字体提示“专有词汇格式不正确，输入含特殊字符的内容、含数字的内容、含特殊字符的内容","testcases","Fri Jul 11 15:35:21 CST 2025","passed","Fri Jul 11 15:35:24 CST 2025","TestVideoImport","test_video_import","",""
"","27134","实时转写页左上角显示文件名，点击重命名图标，可进入重命名编辑状态，未修改文件名，保存文件名，文件名长度校验","testcases","Fri Jul 11 15:37:54 CST 2025","passed","Fri Jul 11 15:38:21 CST 2025","TestATranscription","test_atranscription","",""
"","6666","输入2个汉字、10个汉字","testcases","Fri Jul 11 15:28:40 CST 2025","passed","Fri Jul 11 15:28:46 CST 2025","TestSensitiveWords","test_sensitive_words","",""
"","18556","区分发言人","testcases","Fri Jul 11 15:35:42 CST 2025","passed","Fri Jul 11 15:36:01 CST 2025","TestTranscriptionRecord","test_transcription_record","",""
"","0","光标定位到文本输入框的任意位置可进入编辑状态，取消热词编辑，恢复空态显示，保存热词编辑，恢复空态显示","testcases","Fri Jul 11 15:40:39 CST 2025","skipped","Fri Jul 11 15:40:39 CST 2025","TestHotWord","test_hot_word","",""
"","28640","导入英文音频，AI工具全选","testcases","Fri Jul 11 15:30:25 CST 2025","passed","Fri Jul 11 15:30:53 CST 2025","TestVideoImport","test_video_import","",""
"","0","热词输入2个汉字，10个汉字","testcases","Fri Jul 11 15:27:39 CST 2025","skipped","Fri Jul 11 15:27:39 CST 2025","TestHotWord","test_hot_word","",""
"","11501","切换每页显示的条数，列表同步刷新当前页显示正确的条数，切换具体的页码数，会跳转到对应的页数，展示当前页的记录，点击左右切换箭头>和<，可翻到上一页，下一页，翻页后，从详情页回到列表页，列表记录回到上次浏览停留的位置","testcases","Fri Jul 11 15:30:13 CST 2025","passed","Fri Jul 11 15:30:25 CST 2025","TestTranscriptionRecord","test_transcription_record","",""
"","0","同一槽位下输入重复的热词，保存时弹出toast提示","testcases","Fri Jul 11 15:39:49 CST 2025","skipped","Fri Jul 11 15:39:49 CST 2025","TestHotWord","test_hot_word","",""
"","76589","点击下载按钮，弹出下载弹窗，下载音频，下载会议纪要、翻译、ai摘要","testcases","Fri Jul 11 15:31:41 CST 2025","broken","Fri Jul 11 15:32:58 CST 2025","TestTranscriptionRecord","test_transcription_record","",""
"","23798","实时转写页面点击麦克风图标，弹窗显示当前正在拾音的麦克风和扬声器。点击默认的音源设备名称可下拉选择其他的音源设备","testcases","Fri Jul 11 15:37:12 CST 2025","passed","Fri Jul 11 15:37:35 CST 2025","TestATranscription","test_atranscription","",""
"","47404","批量导入各种格式的音频，清空导入的音频，点击删除","testcases","Fri Jul 11 15:33:31 CST 2025","passed","Fri Jul 11 15:34:18 CST 2025","TestVideoImport","test_video_import","",""
"","19782","实时转写中，点击【纪要】图标展开编辑栏，实时转写暂停时，点击【纪要】展开编辑栏，转写中，写入纪要，自动保存成功，本次纪要内容不保存至下一条实时转写记录内","testcases","Fri Jul 11 15:39:29 CST 2025","passed","Fri Jul 11 15:39:49 CST 2025","TestATranscription","test_atranscription","",""
"","31878","新增内容后，结束会议后显示修改后的内容（退出编辑5秒后才能保存成功）,转写内容做了增加，结束会议后，下载下来的文稿显示新增的内容","testcases","Fri Jul 11 15:38:57 CST 2025","broken","Fri Jul 11 15:39:29 CST 2025","TestATranscription","test_atranscription","",""
"","0","热词输入2个字母,10个字母，大写字母，大小写混合","testcases","Fri Jul 11 15:39:49 CST 2025","skipped","Fri Jul 11 15:39:49 CST 2025","TestHotWord","test_hot_word","",""
"","59574","点击开始会议记录后进入实时转写页面,音频录音中，点击【暂停】按钮，录音暂停,点击【结束】显示结束录音提示弹窗","testcases","Fri Jul 11 15:27:40 CST 2025","passed","Fri Jul 11 15:28:40 CST 2025","TestATranscription","test_atranscription","",""
"","0","热词文本框支持输入中文、英文、中英文逗号/顿号","testcases","Fri Jul 11 15:39:49 CST 2025","skipped","Fri Jul 11 15:39:49 CST 2025","TestHotWord","test_hot_word","",""
"","0","编辑热词时，点击左侧侧边栏跳转页面","testcases","Fri Jul 11 15:39:49 CST 2025","skipped","Fri Jul 11 15:39:49 CST 2025","TestHotWord","test_hot_word","",""
"","0","输入默认账号：admin，密码：admin123，点击【登录】按钮可登录成功进入首页,密码是密文显示","testcases","Fri Jul 11 15:28:40 CST 2025","skipped","Fri Jul 11 15:28:40 CST 2025","TestLogin","test_login","",""
"","62716","不满一分钟的记录，提示无法进行语篇规整","testcases","Fri Jul 11 15:34:18 CST 2025","passed","Fri Jul 11 15:35:21 CST 2025","TestTranscriptionRecord","test_transcription_record","",""
"","9654","在历史记录列表中选中会议记录点击分享按钮，会弹出分享弹框，复制分享链接","testcases","Fri Jul 11 15:30:58 CST 2025","passed","Fri Jul 11 15:31:08 CST 2025","TestTranscriptionRecord","test_transcription_record","",""
"","0","转写过程关闭区分发言人开关之后，再开启的新转写区分发言人开关默认是关闭状态，发言人区分后，点击发言人姓名时，切换为可编辑状态，可以编辑后保存","testcases","Fri Jul 11 15:37:54 CST 2025","skipped","Fri Jul 11 15:37:54 CST 2025","TestATranscription","test_atranscription","",""
"","24557","导入四川话音频，AI工具全选","testcases","Fri Jul 11 15:32:58 CST 2025","passed","Fri Jul 11 15:33:22 CST 2025","TestVideoImport","test_video_import","",""
"","2259","搜索敏感词","testcases","Fri Jul 11 15:30:11 CST 2025","passed","Fri Jul 11 15:30:13 CST 2025","TestSensitiveWords","test_sensitive_words","",""
"","8279","单个记录删除取消再确认，批量删除取消再确认","testcases","Fri Jul 11 15:33:22 CST 2025","passed","Fri Jul 11 15:33:31 CST 2025","TestTranscriptionRecord","test_transcription_record","",""
"","70632","实时转写中添加热词","testcases","Fri Jul 11 15:36:01 CST 2025","passed","Fri Jul 11 15:37:12 CST 2025","TestATranscription","test_atranscription","",""
"","0","选中多个热词删除,清空所有热词后保存，恢复空态显示","testcases","Fri Jul 11 15:39:49 CST 2025","skipped","Fri Jul 11 15:39:49 CST 2025","TestHotWord","test_hot_word","",""
"","0","三个槽位页下输入同一个热词，保存提交","testcases","Fri Jul 11 15:39:49 CST 2025","skipped","Fri Jul 11 15:39:49 CST 2025","TestHotWord","test_hot_word","",""
"","4375","删除敏感词","testcases","Fri Jul 11 15:30:53 CST 2025","passed","Fri Jul 11 15:30:58 CST 2025","TestSensitiveWords","test_sensitive_words","",""
"","33602","导入粤语音频，AI工具全选","testcases","Fri Jul 11 15:31:08 CST 2025","passed","Fri Jul 11 15:31:41 CST 2025","TestVideoImport","test_video_import","",""
"","5056","登录成功，点击菜单栏头像>退出账号，可退出账号","testcases","Fri Jul 11 15:40:39 CST 2025","broken","Fri Jul 11 15:40:45 CST 2025","TestLogout","test_zlogout","",""
"","15584","正在实时转写过程中，点击退出账号，弹窗提示需先结束实时转写，然后再退出系统，点击确定后再退出账号","testcases","Fri Jul 11 15:40:24 CST 2025","broken","Fri Jul 11 15:40:39 CST 2025","TestLogout","test_zlogout","",""
"","0","确定取消热词编辑后，再次进入热词编辑","testcases","Fri Jul 11 15:39:49 CST 2025","skipped","Fri Jul 11 15:39:49 CST 2025","TestHotWord","test_hot_word","",""
"","34862","精确搜索非当前tab中存在的热词,搜索不存在的热词，弹出toast提示","testcases","Fri Jul 11 15:39:49 CST 2025","passed","Fri Jul 11 15:40:24 CST 2025","TestHotWord","test_hot_word","",""
"","35951","修改为已存在的记录文件名，修改文件名后取消保存","testcases","Fri Jul 11 15:38:21 CST 2025","passed","Fri Jul 11 15:38:57 CST 2025","TestATranscription","test_atranscription","",""
"","18679","语气词过滤默认勾选状态，转写过程中，关闭语气词过滤，语气词过滤开关仅对本条记录生效","testcases","Fri Jul 11 15:37:35 CST 2025","passed","Fri Jul 11 15:37:54 CST 2025","TestATranscription","test_atranscription","",""
"","10463","会议记录翻译","testcases","Fri Jul 11 15:35:32 CST 2025","passed","Fri Jul 11 15:35:42 CST 2025","TestTranscriptionRecord","test_transcription_record","",""
"","0","保存后热词统一用中文顿号隔开,输入多个分隔符，保存过滤多余分隔符","testcases","Fri Jul 11 15:39:49 CST 2025","skipped","Fri Jul 11 15:39:49 CST 2025","TestHotWord","test_hot_word","",""
"","76765","导入中文音频，AI工具全选","testcases","Fri Jul 11 15:28:54 CST 2025","passed","Fri Jul 11 15:30:11 CST 2025","TestVideoImport","test_video_import","",""
"","0","打开声纹区分发言人，添加已有声纹的发言人，关闭声纹区分发言人，结束会议","testcases","Fri Jul 11 15:37:54 CST 2025","skipped","Fri Jul 11 15:37:54 CST 2025","TestATranscription","test_atranscription","",""
